compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0039,STANDARD DYNAMIC TIBASE,31.323.039.01-2,31,323,039,01,2,"45º|29º|0,7","0,7                        45º                           29º                        31.323.039.01-2                              31.313.039.01-2"
0039,STANDARD DYNAMIC TIBASE,31.313.039.01-2,31,313,039,01,2,"45º|29º|0,7","0,7                        45º                           29º                        31.323.039.01-2                              31.313.039.01-2"
0039,STANDARD DYNAMIC TIBASE,31.323.039.03-2,31,323,039,03,2,25º|2,2                         25º                              -                      31.323.039.03-2                               31.313.039.03-2
0039,STANDARD DYNAMIC TIBASE,31.313.039.03-2,31,313,039,03,2,25º|2,2                         25º                              -                      31.323.039.03-2                               31.313.039.03-2
0039,STANDARD DYNAMIC TIBASE,31.323.039.21-2,31,323,039,21,2,"30º|25º|10º|0,7","0,7                       30º                            25º                            10º                    31.323.039.21-2                                31.313.039.21-2"
0039,STANDARD DYNAMIC TIBASE,31.313.039.21-2,31,313,039,21,2,"30º|25º|10º|0,7","0,7                       30º                            25º                            10º                    31.323.039.21-2                                31.313.039.21-2"
0039,SCREWDRIVER,52.410.114.01-2,52,410,114,01,2,10,10                     52.410.114.01-2
0039,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,43.621.410.01-2
0039,SCREWDRIVER,50.313.039.01-2,50,313,039,01,2,,50.313.039.01-2
0039,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,,43.624.410.01-2
0039,SCREWDRIVER,52.412.114.01-2,52,412,114,01,2,12,12                     52.412.114.01-2
0039,SCANBODY,30.413.002.01-2,30,413,002,01,2,,30.413.002.01-2
0039,SCANBODY,33.345.856.01-2,33,345,856,01,2,3,3                                                 33.345.856.01-2                                             34.613.039.01-2
0039,SCANBODY,34.613.039.01-2,34,613,039,01,2,3,3                                                 33.345.856.01-2                                             34.613.039.01-2
0039,SCANBODY,33.445.856.01-2,33,445,856,01,2,25º|4,4                       25º                       33.445.856.01-2
0039,SCANBODY,33.645.856.01-2,33,645,856,01,2,6,6                                                 33.645.856.01-2
0039,DYNAMIC,43.618.201.01-2,43,618,201,01,2,18,18                        43.618.201.01-2
0039,DYNAMIC,41.316.081.01-2,41,316,081,01,2,24,41.316.081.01-2                                  24                        43.624.201.01-2
0039,DYNAMIC,43.624.201.01-2,43,624,201,01,2,24,41.316.081.01-2                                  24                        43.624.201.01-2
0039,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                        43.632.201.01-2
