reference,reference_num,name,ean13
48.312.120.03-2,48312120032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0120, 0121 20N·cm",843567351253
48.312.125.03-2,48312125032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0125 20N·cm",843567351260
48.312.169.03-2,48312169032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0169 25N·cm",843567351263
48.312.186.03-2,48312186032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0186 20N·cm",843567351225
48.312.207.03-2,48312207032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0207, 0208 20N·cm",843567351255
48.312.021.04-2,48312021042,"DAS Multi-Unit 20º, G4.5/5,9, Comp.0021 20N·cm",843567351223
48.312.004.04-2,48312004042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0004 20N·cm",843567351230
48.312.006.04-2,48312006042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0006 20N·cm",843567351233
48.312.014.04-2,48312014042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0014 15N·cm",843567351238
48.312.015.04-2,48312015042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0015 25N·cm",843567351220
48.312.033.04-2,48312033042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0033 20N·cm",843567351243
48.312.040.04-2,48312040042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0040 25N·cm",843567351248
48.312.207.04-2,48312207042,"DAS Multi-Unit 20º, G4.5/5.9, Comp.0207, 0208 20N·cm",843567351256
48.612.021.03-2,48612021032,"DAS Multi-Unit 28º, G3.5/5.4, Comp.0021 20N·cm",843567351344
48.612.021.04-2,48612021042,"DAS Multi-Unit 28º, G4.5/6.4, Comp.0021 20N·cm",843567351345
42.302.001.01-2,42302001012,DAS Multi-Unit straight G1 Comp.0001 30N·cm,843656873440
42.303.002.01-2,42303002012,DAS Multi-Unit straight G1 Comp.0002 30N·cm,843656873501
42.303.004.01-2,42303004012,DAS Multi-Unit straight G1 Comp.0004 30N·cm,843656873402
42.302.006.01-2,42302006012,DAS Multi-Unit straight G1 Comp.0006 30N·cm,843656873465
42.303.007.01-2,42303007012,DAS Multi-Unit straight G1 Comp.0007 30N·cm,843656873469
42.303.010.01-2,42303010012,DAS Multi-Unit straight G1 Comp.0010 30N·cm,843567350478
42.302.011.01-2,42302011012,DAS Multi-Unit straight G1 Comp.0011 30N·cm,843567351132
42.303.012.01-2,42303012012,DAS Multi-Unit straight G1 Comp.0012 30N·cm,843567351135
42.303.015.01-2,42303015012,DAS Multi-Unit straight G1 Comp.0015 30N·cm,843656873389
42.302.021.01-2,42302021012,DAS Multi-Unit straight G1 Comp.0021 30N·cm,843656873376
42.303.022.01-2,42303022012,DAS Multi-Unit straight G1 Comp.0022 30N·cm,843656873406
42.302.029.01-2,42302029012,DAS Multi-Unit straight G1 Comp.0029 30N·cm,843656873473
42.303.030.01-2,42303030012,DAS Multi-Unit straight G1 Comp.0030 30N·cm,843656873384
42.302.032.01-2,42302032012,DAS Multi-Unit straight G1 Comp.0032 30N·cm,843567351115
42.303.037.01-2,42303037012,DAS Multi-Unit straight G1 Comp.0037 30N·cm,843567351123
42.303.039.01-2,42303039012,DAS Multi-Unit straight G1 Comp.0039 30N·cm,843656873966
42.302.040.01-2,42302040012,DAS Multi-Unit straight G1 Comp.0040 30N·cm,843656873380
42.302.050.01-2,42302050012,DAS Multi-Unit straight G1 Comp.0050 30N·cm,843567351299
42.303.065.01-2,42303065012,DAS Multi-Unit straight G1 Comp.0065 30N·cm,843567351119
42.302.082.01-2,42302082012,DAS Multi-Unit straight G1 Comp.0082 30N·cm,843567351096
42.303.083.01-2,42303083012,DAS Multi-Unit straight G1 Comp.0083 30N·cm,843567351100
42.303.091.01-2,42303091012,DAS Multi-Unit straight G1 Comp.0091 30N·cm,843656873548
42.302.102.01-2,42302102012,DAS Multi-Unit straight G1 Comp.0102 30N·cm,843656873600
42.301.119.01-2,42301119012,DAS Multi-Unit straight G1 Comp.0119 30N·cm,843656873969
42.303.121.01-2,42303121012,"DAS Multi-Unit straight G1 Comp.0120, 0121 30N·cm",843656873604
42.303.125.01-2,42303125012,DAS Multi-Unit straight G1 Comp.0125 30N·cm,843656873552
42.300.136.01-2,42300136012,DAS Multi-Unit straight G1 Comp.0136 30N·cm,843567350575
42.302.138.01-2,42302138012,DAS Multi-Unit straight G1 Comp.0138 30N·cm,843567351492
42.303.139.01-2,42303139012,DAS Multi-Unit straight G1 Comp.0139 30N·cm,843567351493
42.304.140.01-2,42304140012,DAS Multi-Unit straight G1 Comp.0140 30N·cm,843567351494
42.302.161.01-2,42302161012,"DAS Multi-Unit straight G1 Comp.0149, 0161 30N·cm",
42.300.152.01-2,42300152012,DAS Multi-Unit straight G1 Comp.0152 30N·cm,
42.300.159.01-2,42300159012,DAS Multi-Unit straight G1 Comp.0159 30N·cm,843567350482
42.302.169.01-2,42302169012,DAS Multi-Unit straight G1 Comp.0169 30N·cm,843656873410
42.302.207.01-2,42302207012,"DAS Multi-Unit straight G1 Comp.0207,0208,0260,0261,0262 30N·cm",843656873394
42.302.251.01-2,42302251012,DAS Multi-Unit straight G1 Comp.0251 30N·cm,
42.302.257.01-2,42302257012,DAS Multi-Unit straight G1 Comp.0257 30N·cm,843567350530
42.302.001.02-2,42302001022,DAS Multi-Unit straight G2 Comp.0001 30N·cm,843656873441
42.303.002.02-2,42303002022,DAS Multi-Unit straight G2 Comp.0002 30N·cm,843656873502
42.303.004.02-2,42303004022,DAS Multi-Unit straight G2 Comp.0004 30N·cm,843656873403
42.302.006.02-2,42302006022,DAS Multi-Unit straight G2 Comp.0006 30N·cm,843656873466
42.303.007.02-2,42303007022,DAS Multi-Unit straight G2 Comp.0007 30N·cm,843656873470
42.302.011.02-2,42302011022,DAS Multi-Unit straight G2 Comp.0011 30N·cm,843567351133
42.303.012.02-2,42303012022,DAS Multi-Unit straight G2 Comp.0012 30N·cm,843567351136
42.302.014.02-2,42302014022,DAS Multi-Unit straight G2 Comp.0014 30N·cm,843656873898
42.303.015.02-2,42303015022,DAS Multi-Unit straight G2 Comp.0015 30N·cm,843656873390
42.302.016.02-2,42302016022,DAS Multi-Unit straight G2 Comp.0016 30N·cm,843567350505
42.303.017.02-2,42303017022,DAS Multi-Unit straight G2 Comp.0017 30N·cm,843567350504
42.302.021.02-2,42302021022,DAS Multi-Unit straight G2 Comp.0021 30N·cm,843656873377
42.303.022.02-2,42303022022,DAS Multi-Unit straight G2 Comp.0022 30N·cm,843656873407
42.303.024.02-2,42303024022,DAS Multi-Unit straight G2 Comp.0024 30N·cm,843567350518
42.302.029.02-2,42302029022,DAS Multi-Unit straight G2 Comp.0029 30N·cm,843656873474
42.303.030.02-2,42303030022,DAS Multi-Unit straight G2 Comp.0030 30N·cm,843656873385
42.302.032.02-2,42302032022,DAS Multi-Unit straight G2 Comp.0032 30N·cm,843567351116
42.302.050.02-2,42302050022,DAS Multi-Unit straight G2 Comp.0050 30N·cm,843567351300
42.303.065.02-2,42303065022,DAS Multi-Unit straight G2 Comp.0065 30N·cm,843567351120
42.302.075.02-2,42302075022,DAS Multi-Unit straight G2 Comp.0075 30N·cm,843656873507
42.302.082.02-2,42302082022,DAS Multi-Unit straight G2 Comp.0082 30N·cm,843567351097
42.303.083.02-2,42303083022,DAS Multi-Unit straight G2 Comp.0083 30N·cm,843567351101
