name,description,category,price,stock_quantity,reference,reference_num,ean13,price_match_type,price_reference,retail_name,compatibility_code,ref_segment_1,ref_segment_2,ref_segment_3,ref_segment_4,ref_check_digit,options,generated_description,system_categories,active_system_categories,primary_system_category,is_active_from_categories
Adaptor IO G3 HI. Comp.0169. 5N·cm,,,,0,50.312.169.04-2,50312169042,843567350215,none,,,169,50,312,169,04,2,"45º|29º|0,6;25º|15º|1,5;20º|3;30º|25º|15º|1,5;25º|20º|15º|3;12;3;1;2;4;1,5|2,9;2,5|3,9","Referenčný kód: 50.312.169.04-2 | Systém: ALPHABIO | Parametre: 45º|29º|0,6;25º|15º|1,5;20º|3;30º|25º|15º|1,5;25º|20º|15º|3;12;3;1;2;4;1,5|2,9;2,5|3,9",ALPHABIO,ALPHABIO,ALPHABIO,1
Adaptor IO G3 HJ. Comp.0051. 5N·cm,,,,0,50.313.051.04-2,50313051042,843567350312,none,,,051,50,313,051,04,2,"24;45º|27º|0,5;25º|2;25º|20º|15º|2;45º|25º|0,5;12;3;60º|45º|1,8|25|5,1|2,7|3,55|3,7;2|25|5,1|3,1|3,6|1,5|2,3|1,70;45º|1,8|25|5,1|2,7|3,38|3,65|1,45","Referenčný kód: 50.313.051.04-2 | Systém: BEGO | Parametre: 24;45º|27º|0,5;25º|2;25º|20º|15º|2;45º|25º|0,5;12;3;60º|45º|1,8|25|5,1|2,7|3,55|3,7;2|25|5,1|3,1|3,6|1,5|2,3|1,70;45º|1,8|25|5,1|2,7|3,38|3,65|1,45",BEGO,BEGO,BEGO,1
Adaptor IO G3 HT. Comp.0092. 5N·cm,,,,0,50.315.092.03-2,50315092032,843567350685,none,,,092,50,315,092,03,2,45º|25º|1;25º|2;20º|3;30º|25º|15º|1;3,Referenčný kód: 50.315.092.03-2 | Systém: ASTRA | Parametre: 45º|25º|1;25º|2;20º|3;30º|25º|15º|1;3,ASTRA,ASTRA,ASTRA,1
Adaptor IO G3 OA. Comp.0037. 5N·cm,,,,0,50.313.037.04-2,50313037042,843656873918,none,,,037,50,313,037,04,2,"45º|25º|0,6;30º|25º|15º|0,6;3;1","Referenčný kód: 50.313.037.04-2 | Systém: ACE | Parametre: 45º|25º|0,6;30º|25º|15º|0,6;3;1",ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;EUTOTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;PROCLINIC;SOUTHERN IMPLANTS;STRAUMANN;TRINON;ZIACOM,ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;SOUTHERN IMPLANTS;STRAUMANN,ACE,1
Adaptor IO G3 SA. Comp.0016. 5N·cm,,,,0,50.312.016.04-2,50312016042,843567350502,none,,,016,50,312,016,04,2,"45º|28º|0,8;25º|1,5;25º|15º|1.5;3;1;2;4","Referenčný kód: 50.312.016.04-2 | Systém: MIS | Parametre: 45º|28º|0,8;25º|1,5;25º|15º|1.5;3;1;2;4",MIS,MIS,MIS,1
Adaptor IO G3 SA. Comp.0033. 5N·cm,,,,0,50.312.033.03-2,50312033032,843656873871,none,,,033,50,312,033,03,2,"38º|18º|1,3;20º|14º|2;15º|25º|3;15º|25º|4;25º|20º|1,3;25º|20º|15º|3;3;1;2;4;2,5|3,9;3,5|4,9","Referenčný kód: 50.312.033.03-2 | Systém: BIOCONCEPT | Parametre: 38º|18º|1,3;20º|14º|2;15º|25º|3;15º|25º|4;25º|20º|1,3;25º|20º|15º|3;3;1;2;4;2,5|3,9;3,5|4,9",BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT,1
Adaptor IO G3 SB. Comp.0035. 5N·cm,,,,0,50.313.035.03-2,50313035032,843656873886,none,,,035,50,313,035,03,2,"39º|18º|1,1;20º|14º|2;15º|30º|3;15º|30º|4;25º|20º|10º|1,1;20º|15º|10º|3;12;3;1;2;4;2,5|3,9","Referenčný kód: 50.313.035.03-2 | Systém: BIOCONCEPT | Parametre: 39º|18º|1,1;20º|14º|2;15º|30º|3;15º|30º|4;25º|20º|10º|1,1;20º|15º|10º|3;12;3;1;2;4;2,5|3,9",BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT,1
"Adaptor IO G3 SC. Comp.0010, 0059. 5N·cm",,,,0,50.313.010.04-2,50313010042,843567350172,none,,,010,50,313,010,04,2,"45º|29º|0,3;43.624|410.012;3;1;2;4;12","Referenčný kód: 50.313.010.04-2 | Systém: BTI | Parametre: 45º|29º|0,3;43.624|410.012;3;1;2;4;12",BTI,BTI,BTI,1
Adaptor IO G3 TA. Comp.0026. 5N·cm,,,,0,50.312.026.04-2,50312026042,843567351265,none,,,026,50,312,026,04,2,"45º|29º|0,5;25º|22º|1,2;25º|20º|10º|0,5;3","Referenčný kód: 50.312.026.04-2 | Systém: ACE | Parametre: 45º|29º|0,5;25º|22º|1,2;25º|20º|10º|0,5;3",ACE;IMPLANT DIRECT;NOBEL BIOCARE;SOUTHERN IMPLANTS;TREE-OSS,ACE;IMPLANT DIRECT;NOBEL BIOCARE;SOUTHERN IMPLANTS,ACE,1
Adaptor IO G3 TA. Comp.0120. 5N·cm,,,,0,50.312.120.03-2,50312120032,843656873889,none,,,120,50,312,120,03,2,"3;2,5|3,9;3,5|4,9","Referenčný kód: 50.312.120.03-2 | Systém: BIOHORIZONS | Parametre: 3;2,5|3,9;3,5|4,9",BIOHORIZONS;CAMLOG,BIOHORIZONS;CAMLOG,BIOHORIZONS,1
